Timestamp,Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1766237878619,-10.57,16.44,-119.81,-501.719,-282.715,971.299,9.91,40.21,-235.76
1766237878622,-17.07,18.31,-134.23,-551.035,-359.375,924.424,-1.40,50.27,-252.69
1766237878625,-22.74,16.72,-148.78,-365.488,-346.191,892.197,-7.77,57.02,-268.88
1766237878632,-3.69,0.45,177.02,-178.477,-491.699,1135.361,22.79,1.02,86.49
1766237878642,-5.53,2.58,-178.82,-146.250,-352.051,1156.357,17.79,6.84,88.99
1766237878652,-5.70,3.89,-174.84,-82.285,-198.242,1125.596,11.73,11.84,85.43
1766237878662,-5.99,8.12,-171.06,-328.867,-208.984,1090.928,7.60,23.34,83.18
1766237878672,-6.11,14.66,-167.17,-636.973,-251.953,1173.447,5.04,40.02,88.68
1766237878682,-5.17,20.54,-163.06,-690.684,-190.430,1245.225,3.29,52.46,90.43
1766237878692,-4.65,24.75,-159.14,-573.984,-239.746,1250.107,0.54,63.84,90.37
1766237878702,-2.34,26.06,-154.71,-319.590,-57.617,1242.783,0.60,69.59,85.68
1766237878712,0.02,25.10,-150.52,-114.023,3.418,1225.693,1.35,70.77,77.68
1766237878722,0.99,24.33,-147.10,-115.488,-51.270,1196.396,0.29,71.40,70.12
1766237878732,1.03,25.07,-144.21,-240.488,-101.074,1139.756,-0.65,71.59,64.74
1766237878742,1.51,23.84,-141.41,-75.938,-39.551,1173.447,-2.34,69.71,57.93
1766237878752,1.37,25.93,-138.81,-388.926,-84.473,1177.354,-4.40,70.02,57.68
1766237878762,1.64,26.45,-135.89,-257.090,-34.180,1183.213,-9.71,73.46,58.99
1766237878772,3.06,25.54,-132.67,-142.832,79.590,1215.928,-8.27,71.02,54.93
1766237878782,3.70,26.26,-129.57,-276.621,41.016,1205.674,-10.71,75.15,56.62
1766237878792,4.83,24.34,-126.66,-31.504,109.375,1136.826,-9.65,71.77,47.74
1766237878802,4.39,23.93,-124.48,-135.508,20.508,1071.885,-13.09,70.96,42.87
1766237878812,3.71,24.52,-122.32,-188.242,7.812,978.135,-17.34,73.52,42.87
1766237878822,3.64,21.89,-120.33,50.527,64.453,939.561,-18.90,67.09,34.18
1766237878832,3.19,20.67,-118.50,-36.387,66.406,1021.104,-23.77,64.21,31.49
1766237878842,2.78,19.91,-116.49,-58.359,72.266,1032.822,-26.77,63.34,34.93
1766237878852,3.29,17.62,-114.29,79.824,142.090,1036.729,-25.40,60.02,33.68
1766237878862,3.87,14.23,-112.51,195.059,171.875,1058.701,-22.90,51.77,26.18
1766237878872,3.52,13.54,-110.87,-6.602,111.328,1079.697,-24.34,49.46,27.74
1766237878882,4.04,11.41,-108.92,129.141,197.754,1110.459,-26.40,45.96,30.93
1766237878892,5.56,7.15,-107.22,361.562,334.473,1181.260,-23.02,33.21,25.81
1766237878902,6.54,4.61,-105.64,199.941,308.594,1199.326,-21.52,22.15,26.93
1766237878912,6.01,3.80,-103.98,51.016,183.105,1245.713,-21.71,17.90,32.31
1766237878922,5.02,1.48,-102.50,177.480,96.680,1220.811,-15.84,8.21,30.87
1766237878932,2.27,0.45,-101.02,80.801,-122.559,1136.338,-8.77,5.02,32.06
1766237878942,0.22,-1.63,-99.93,177.480,-150.391,1249.619,-2.34,-4.91,23.31
1766237878952,-2.11,-1.35,-99.08,-8.555,-248.535,1305.283,0.54,-3.48,17.06
1766237878962,-3.02,-2.19,-99.12,91.543,-175.293,1254.014,7.16,-4.79,-1.76
1766237878972,-4.12,0.74,-100.32,-258.555,-231.934,1234.482,10.23,1.21,-24.57
1766237878982,-4.53,3.93,-102.96,-287.852,-172.852,1261.338,9.98,16.90,-51.76
1766237878992,-5.89,9.09,-107.11,-473.398,-216.309,1189.561,5.98,37.77,-76.19
1766237879003,-6.15,11.58,-112.56,-240.000,-54.199,1210.068,-0.09,53.90,-105.82
1766237879012,-5.73,10.74,-119.96,39.785,50.293,1153.916,-1.65,57.71,-149.13
1766237879022,-5.74,10.77,-129.60,-39.316,52.734,1129.502,-2.15,58.21,-192.69
1766237879032,-5.21,10.21,-141.18,18.789,138.184,1130.479,-4.52,60.52,-234.63
1766237879042,-7.43,13.90,-154.37,-333.750,5.371,992.783,-12.27,69.34,-257.32
1766237879053,-11.48,18.49,-168.37,-528.086,-42.480,980.576,-21.34,80.71,-266.51
1766237879063,-16.83,22.57,177.52,-712.168,-85.449,1034.775,-30.96,87.77,-264.94
1766237879073,-24.24,24.80,163.21,-734.141,-364.746,1025.498,-25.09,99.90,-249.38
1766237879083,-29.70,24.26,150.51,-548.105,-399.414,1134.873,-21.52,110.96,-228.44
1766237879093,-31.46,17.55,139.51,76.406,-308.594,1092.881,-9.27,108.59,-223.82
1766237879103,-31.61,5.13,129.07,830.801,-339.844,946.885,4.04,90.40,-228.19
1766237879112,-29.98,-7.42,118.99,940.176,-349.121,832.139,4.66,65.09,-228.88
1766237879123,-27.31,-20.14,109.12,1099.355,-372.070,673.447,3.41,37.96,-227.63
1766237879133,-23.12,-30.70,99.24,1074.941,-406.250,687.119,5.66,13.96,-216.76
1766237879143,-17.76,-36.10,89.18,634.023,-318.359,701.279,-1.02,-4.60,-198.51
1766237879153,-13.22,-37.65,80.17,461.172,-314.453,777.451,-6.09,-18.04,-176.57
1766237879163,-9.51,-37.06,72.06,361.074,-240.723,830.186,-16.84,-24.04,-154.19
1766237879173,-6.47,-34.63,64.61,221.426,-152.344,845.811,-26.52,-29.35,-138.13
1766237879183,-0.98,-35.65,55.50,499.746,59.570,941.025,-27.15,-39.98,-140.19
1766237879193,3.52,-31.90,46.88,139.395,101.562,1008.408,-30.65,-43.29,-139.19
1766237879203,8.59,-30.47,37.52,351.309,264.160,1051.865,-32.84,-44.54,-144.51
1766237879213,12.60,-25.70,28.73,59.805,316.895,1099.229,-31.52,-44.29,-146.07
1766237879223,15.24,-19.00,20.82,-179.453,384.766,1122.178,-32.84,-38.04,-141.26
1766237879233,16.37,-12.19,13.89,-298.105,431.641,1232.529,-32.21,-30.54,-132.94
1766237879243,17.54,-6.27,7.57,-314.219,532.715,1218.369,-27.46,-23.29,-123.57
1766237879253,18.95,-1.87,1.95,-267.832,599.121,1199.814,-17.90,-20.60,-111.94
1766237879263,20.20,2.60,-2.63,-390.391,703.125,1308.701,-13.34,-11.91,-95.63
1766237879273,22.08,4.79,-6.46,-207.773,727.051,1236.436,-1.15,-9.23,-83.51
1766237879282,23.52,7.83,-9.27,-352.793,677.734,1262.314,9.73,-1.48,-64.57
1766237879293,25.38,8.83,-11.29,-186.289,709.961,1336.045,25.10,4.71,-50.13
1766237879302,27.14,8.25,-12.72,-45.176,578.613,1192.979,39.04,4.40,-34.44
1766237879312,26.95,5.83,-13.34,63.711,259.766,756.455,34.16,2.27,-9.38
1766237879322,25.44,-2.25,-13.02,366.445,142.090,553.330,15.16,-2.54,13.18
1766237879333,25.91,-12.83,-13.61,1071.035,322.266,709.092,11.04,-19.41,-0.69
1766237879343,27.13,-21.05,-15.50,1256.582,436.035,880.479,12.98,-21.73,-27.01
1766237879353,29.21,-26.83,-18.71,1332.266,512.207,1048.936,19.48,-27.16,-51.82
1766237879363,30.34,-30.00,-21.62,970.449,374.023,1075.791,25.73,-36.98,-56.51
1766237879373,30.57,-31.90,-24.04,794.668,246.582,1106.064,34.98,-48.79,-58.44
1766237879383,26.16,-30.08,-23.35,330.312,-125.488,1149.521,40.79,-39.41,-51.44
1766237879393,23.97,-27.83,-23.50,393.789,1.465,1270.127,46.23,-23.16,-51.13
1766237879403,22.98,-24.25,-23.85,323.965,67.383,1377.061,56.29,-3.60,-51.01
1766237879413,22.05,-20.40,-24.06,265.371,50.781,1252.061,60.04,14.02,-49.07
1766237879423,21.10,-18.69,-24.41,353.262,28.320,976.670,57.10,22.09,-47.69
1766237879433,18.98,-19.94,-24.42,400.137,-61.523,660.264,48.60,22.34,-43.19
1766237879443,12.55,-21.48,-22.74,310.293,-293.457,544.053,36.79,13.40,-31.51
1766237879453,2.71,-20.71,-19.22,141.348,-572.266,514.268,24.41,10.02,-11.01
1766237879463,-6.57,-13.84,-15.94,-252.695,-633.789,667.588,-7.15,19.02,15.99
1766237879473,-9.18,-5.55,-14.56,-334.238,-212.891,1021.592,-28.40,35.34,32.81
1766237879483,-7.30,1.20,-13.08,-364.023,131.348,1266.221,-23.77,40.84,42.81
1766237879493,-4.89,6.35,-10.98,-358.652,168.457,1206.162,-17.40,33.77,45.12
1766237879503,-4.45,12.34,-8.44,-555.918,-1.465,1213.975,-19.09,39.46,53.49
1766237879513,-5.46,17.20,-5.84,-476.328,-176.758,1131.455,-16.84,50.65,61.43
1766237879523,-7.00,17.63,-3.29,-106.699,-249.512,1085.557,-16.09,55.02,65.81
1766237879533,-7.83,16.41,-0.28,38.320,-227.051,1093.857,-15.52,52.52,72.74
1766237879543,-6.94,15.64,3.81,56.387,-101.074,1141.709,-16.90,58.09,86.68
1766237879553,-6.26,18.56,8.84,-258.555,-140.625,1195.908,-17.46,64.71,107.12
1766237879563,-3.17,19.16,15.36,-60.312,54.688,1231.064,-17.02,70.15,122.31
1766237879573,1.42,16.52,22.59,232.656,257.812,1212.021,-13.96,64.96,124.81
1766237879583,5.55,12.64,29.51,291.250,294.922,1059.189,-9.46,55.59,119.93
1766237879593,9.38,9.22,36.20,211.660,344.238,1006.943,-4.96,44.77,118.62
1766237879603,12.67,5.13,42.49,281.973,415.527,1055.283,-1.40,35.77,115.37
1766237879612,14.36,3.89,48.87,19.766,347.656,1083.115,1.10,30.40,123.62
1766237879623,15.83,3.75,55.59,-100.840,354.980,1114.365,5.66,27.21,132.12
1766237879633,16.75,5.12,62.51,-302.012,321.777,1221.787,12.54,24.52,137.93
1766237879643,17.44,6.94,69.82,-388.438,254.883,1253.525,21.16,29.59,145.68
1766237879653,17.73,7.30,77.50,-268.809,187.988,1257.920,26.23,33.40,155.31
1766237879663,16.76,5.98,85.01,-93.516,59.570,1179.795,29.48,32.21,155.81
1766237879673,14.87,3.68,92.27,30.508,-6.836,1102.646,26.73,27.40,150.43
1766237879683,10.87,1.86,99.17,49.551,-179.688,1042.100,22.29,21.77,142.18
1766237879693,5.65,3.95,105.83,-202.891,-326.172,1007.432,12.48,21.34,136.06
1766237879703,0.26,7.31,111.80,-314.219,-458.984,1054.307,2.48,22.46,126.93
1766237879713,-4.77,13.06,116.74,-491.465,-515.137,944.932,-5.96,33.96,113.68
1766237879723,-10.16,18.98,120.16,-489.512,-576.660,855.576,-17.90,48.40,98.24
1766237879733,-12.54,20.74,122.77,-209.238,-364.746,1038.193,-28.59,58.40,75.37
1766237879743,-13.59,21.38,124.89,-162.852,-309.570,1307.725,-34.15,63.59,57.18
1766237879753,-13.73,18.82,126.08,177.969,-196.289,1386.826,-34.59,64.71,29.68
1766237879763,-14.45,18.73,126.13,-10.996,-195.312,1364.854,-39.21,78.40,11.87
1766237879773,-14.15,18.17,125.17,81.777,-50.781,1367.783,-39.34,90.21,-14.69
1766237879783,-12.45,19.22,123.37,-44.199,168.457,1527.451,-37.46,102.59,-40.63
1766237879793,-9.64,19.71,120.91,48.574,389.648,1643.174,-28.52,108.21,-64.82
1766237879803,-5.90,18.35,117.78,308.828,557.617,1676.865,-10.46,101.46,-87.13
1766237879813,-2.30,14.32,113.47,755.117,600.098,1642.197,5.73,87.46,-111.88
1766237879823,1.89,10.41,107.54,651.113,587.402,1415.635,23.41,68.27,-145.82
1766237879833,4.89,7.60,100.06,429.922,366.699,1150.010,27.91,57.52,-172.88
1766237879843,7.70,4.07,90.93,532.949,359.863,961.533,23.35,50.21,-210.32
1766237879853,9.45,3.89,80.12,245.352,268.555,771.592,8.54,51.27,-248.26
1766237879863,8.63,8.37,67.98,-31.992,143.555,629.990,-3.90,54.15,-279.01
1766237879873,7.26,15.17,54.91,-247.324,201.660,671.494,-3.71,50.02,-297.01
1766237879883,2.74,20.18,40.86,-337.168,77.637,840.439,2.60,44.15,-293.26
1766237879893,-2.68,18.26,26.30,-59.824,-108.398,1146.104,20.54,29.77,-285.07
1766237879903,-10.30,16.33,11.26,-154.551,-619.141,1147.080,37.98,23.21,-270.01
1766237879913,-17.29,12.28,-3.35,-27.598,-879.883,1114.854,45.85,27.52,-263.19
1766237879923,-23.90,6.44,-17.42,164.785,-1099.121,926.377,48.04,35.77,-259.57
1766237879933,-27.42,-2.75,-30.35,477.773,-1071.777,849.229,51.54,27.52,-260.88
1766237879943,-29.09,-13.00,-42.12,690.664,-1066.895,669.541,51.29,22.21,-254.51
1766237879953,-31.62,-17.84,-51.79,242.910,-1142.578,608.018,35.16,17.52,-239.13
1766237879963,-32.29,-23.57,-60.83,346.914,-853.516,590.928,18.48,10.27,-226.07
1766237879973,-30.86,-28.80,-69.20,398.184,-639.160,612.900,7.35,2.40,-200.01
1766237879983,-27.51,-34.24,-77.51,465.566,-397.461,579.209,-8.09,-8.29,-171.94
1766237879993,-19.42,-40.47,-88.32,543.203,-90.820,579.209,-20.40,-28.29,-154.38
1766237880003,-8.14,-41.53,-101.04,326.406,101.074,721.787,-24.96,-52.85,-140.82
1766237880013,5.54,-43.21,-116.12,600.332,460.449,1021.104,-23.02,-81.60,-143.76
1766237880024,17.24,-40.22,-130.08,306.875,576.172,1184.678,-17.34,-98.16,-142.51
1766237880033,25.32,-34.56,-141.56,37.344,627.930,1284.287,-9.15,-106.85,-139.26
1766237880044,30.10,-26.95,-150.72,-294.688,692.871,1388.291,-3.15,-102.04,-130.57
1766237880053,32.20,-18.42,-157.81,-600.840,672.363,1429.307,5.54,-88.35,-115.88
1766237880064,33.33,-10.87,-163.67,-625.254,802.246,1590.439,14.98,-69.16,-103.44
1766237880073,33.97,-2.95,-167.79,-925.547,870.117,1755.967,31.04,-39.66,-81.32
1766237880083,35.72,3.65,-170.49,-828.867,1001.953,1783.311,56.41,-11.16,-63.51
1766237880093,38.66,9.21,-171.65,-783.457,1099.609,1697.373,76.41,14.15,-42.44
1766237880103,42.50,13.19,-171.49,-605.234,888.184,1109.971,80.85,16.71,-12.57
1766237880113,46.82,12.47,-170.88,-119.883,482.910,398.545,54.60,0.84,6.62
1766237880123,47.94,1.08,-171.41,396.230,300.781,300.400,30.54,-19.48,12.99
1766237880133,45.77,-8.62,-172.34,890.371,369.629,816.514,27.16,-28.04,-0.07
1766237880144,43.92,-15.94,-173.84,1215.566,391.602,1108.018,33.79,-28.54,-34.57
1766237880154,43.81,-23.73,-177.05,1521.230,223.145,925.400,41.54,-47.29,-67.76
1766237880163,42.20,-30.58,179.77,1180.410,-44.434,895.127,39.54,-73.98,-77.19
1766237880173,35.36,-32.68,-179.66,564.199,-379.395,1058.213,40.60,-65.98,-69.94
1766237880183,29.61,-30.37,-178.36,423.086,-284.668,1466.416,47.16,-31.35,-66.07
1766237880193,26.04,-24.53,-177.45,167.715,-80.078,1590.439,54.23,5.21,-59.76
1766237880203,24.28,-19.95,-177.12,188.711,7.324,1034.775,66.29,20.84,-52.44
1766237880213,22.87,-16.82,-177.25,155.996,21.973,699.814,60.66,20.59,-47.26
1766237880223,14.61,-12.38,-175.82,-18.809,-332.031,521.104,40.73,25.65,-39.13
1766237880233,3.90,-10.62,-174.65,46.621,-805.664,440.537,27.73,23.96,-33.19
1766237880243,-7.21,-9.88,-173.96,136.953,-1131.836,512.314,6.73,21.52,-29.51
1766237880254,-18.45,-9.30,-174.24,153.066,-1194.824,676.377,-35.09,19.71,-36.44
1766237880264,-20.56,-8.39,-176.25,166.738,-390.625,1270.615,-56.96,22.71,-34.51
1766237880273,-17.57,-5.76,-178.49,-98.887,48.828,1495.713,-40.90,12.59,-30.63
1766237880284,-16.03,0.75,-179.69,-536.875,-67.383,1365.830,-30.21,23.46,-14.13
1766237880294,-14.99,7.74,-179.13,-572.031,-108.398,1354.600,-26.59,44.84,22.93
1766237880304,-13.40,14.61,-177.46,-633.066,-90.820,1316.514,-17.77,56.59,42.24
1766237880313,-9.73,18.71,-173.31,-410.410,36.133,1334.092,-9.77,60.77,80.37
1766237880323,-5.93,19.95,-167.35,-143.320,5.371,1289.658,-3.84,68.15,115.49
1766237880333,-2.86,17.23,-160.72,219.961,-45.898,1229.600,3.98,64.71,135.31
1766237880344,-1.36,13.96,-153.69,274.160,-165.527,1082.627,15.73,60.46,154.62
1766237880353,0.67,8.83,-146.10,446.523,-60.547,1089.463,18.66,46.59,163.37
1766237880363,0.97,7.10,-138.62,115.957,-127.930,1026.475,18.16,33.59,162.62
1766237880373,1.15,8.51,-130.94,-133.066,-118.652,1009.873,14.91,30.21,166.18
1766237880383,2.64,8.97,-122.98,-109.629,-10.254,1050.400,13.54,27.59,168.87
1766237880393,4.64,9.48,-114.99,-167.246,81.055,1155.869,9.85,25.84,167.24
1766237880403,6.36,12.61,-107.40,-482.188,83.984,1207.139,8.66,26.59,158.62
1766237880413,8.33,16.18,-99.90,-584.238,101.562,1171.494,7.66,33.46,154.31
1766237880423,10.19,20.78,-92.37,-775.156,83.008,1183.701,3.98,46.09,153.31
1766237880433,12.27,23.65,-84.70,-648.691,112.793,1225.205,0.16,58.77,150.68
1766237880443,13.76,24.24,-77.54,-407.969,88.379,1140.732,-0.77,63.71,142.56
1766237880453,14.33,23.67,-71.07,-271.738,60.547,1086.045,-3.21,66.84,132.74
1766237880463,14.32,23.13,-65.20,-216.074,65.430,976.182,-8.84,69.71,119.18
1766237880473,13.15,24.13,-59.84,-352.305,3.906,1157.334,-16.65,76.34,113.06
1766237880484,11.61,25.71,-54.83,-384.043,-32.227,1137.314,-21.90,80.90,107.06
1766237880493,10.27,27.93,-49.98,-382.090,-21.973,1039.658,-27.27,91.09,99.49
1766237880503,8.50,31.91,-45.54,-535.410,-80.078,1052.354,-33.65,102.90,94.43
1766237880513,7.99,33.58,-40.90,-326.426,3.906,999.619,-34.40,110.09,85.74
1766237880523,7.64,33.29,-36.33,-177.012,33.691,1084.580,-38.09,112.59,80.31
1766237880533,9.11,29.53,-31.62,176.016,231.934,1176.377,-33.77,102.71,63.81
1766237880543,8.03,26.72,-28.53,135.000,75.195,1269.639,-31.59,100.59,53.87
1766237880553,6.90,23.50,-26.25,268.789,100.098,1333.115,-29.59,97.46,36.99
1766237880563,5.11,23.49,-24.60,3.164,41.016,1398.545,-29.90,107.02,28.18
1766237880573,4.65,22.39,-23.71,187.734,160.645,1429.307,-22.15,110.59,4.87
1766237880583,4.06,22.03,-23.94,165.273,157.227,1509.385,-15.77,115.09,-16.01
1766237880594,4.23,19.00,-25.67,596.426,268.555,1599.229,-5.15,106.09,-49.32
1766237880603,4.94,14.36,-29.63,849.844,333.008,1592.881,9.54,83.15,-92.57
1766237880614,4.34,14.02,-35.18,190.176,105.957,1419.053,18.29,80.40,-116.76
1766237880624,4.70,10.85,-42.56,526.602,193.359,1285.752,22.23,74.59,-155.88
1766237880634,5.35,7.67,-52.71,529.043,201.660,1111.924,22.23,68.02,-210.63
1766237880643,4.09,12.06,-65.37,-103.770,86.914,850.205,15.29,73.46,-253.13
1766237880654,2.75,18.43,-79.91,-265.391,153.320,721.787,13.66,79.84,-284.07
1766237880664,-0.25,18.82,-95.64,-100.840,155.273,1169.541,17.23,61.59,-301.19
1766237880674,-8.48,18.70,-113.31,-287.852,-372.559,1147.568,26.48,46.15,-298.07
1766237880684,-15.55,12.35,-130.64,95.938,-560.059,958.604,46.79,38.15,-298.32
1766237880694,-23.79,6.63,-147.19,0.723,-1042.969,730.088,56.60,43.09,-293.38
1766237880704,-30.18,3.10,-161.71,-220.469,-1278.320,739.854,47.91,60.59,-278.44
1766237880714,-32.61,-4.68,-174.57,301.504,-1103.027,851.182,42.04,61.46,-268.69
1766237880724,-33.35,-14.07,174.07,603.750,-1037.598,699.326,37.23,51.27,-257.44
1766237880734,-33.23,-18.38,163.95,261.465,-1026.855,765.244,24.66,45.15,-241.63
1766237880744,-35.54,-20.66,155.71,98.867,-1081.055,592.393,4.29,36.15,-221.69
1766237880754,-37.21,-25.61,148.34,360.586,-939.941,529.404,-3.71,26.02,-207.63
1766237880764,-36.86,-31.20,141.23,435.293,-653.320,517.686,-16.40,12.96,-190.07
1766237880774,-33.13,-35.70,133.20,370.840,-361.328,530.381,-25.21,-3.29,-171.57
1766237880784,-22.18,-41.26,120.95,519.766,62.500,694.443,-31.34,-27.54,-164.69
1766237880794,-7.63,-46.55,105.14,825.918,462.402,923.447,-34.65,-54.23,-170.44
1766237880804,7.65,-45.09,87.95,398.672,569.824,1016.709,-34.34,-70.16,-170.44
1766237880814,20.42,-41.34,72.35,336.660,711.914,1142.197,-25.15,-90.41,-174.26
1766237880824,29.12,-34.67,59.77,70.059,757.324,1233.994,-15.46,-98.73,-171.82
1766237880834,33.59,-26.30,50.34,-245.859,751.953,1365.342,-5.84,-97.66,-158.82
1766237880844,35.65,-18.24,42.69,-422.129,777.832,1504.502,5.98,-93.54,-141.69
1766237880854,37.08,-11.34,35.97,-454.844,844.727,1508.896,20.41,-85.48,-124.07
1766237880864,37.61,-4.54,30.72,-708.750,869.141,1601.670,31.41,-69.41,-97.01
1766237880874,38.61,0.55,26.45,-630.137,904.297,1598.252,52.85,-54.54,-76.51
1766237880884,40.07,4.93,23.47,-697.520,947.266,1637.314,70.04,-35.66,-52.26
1766237880894,41.66,8.34,22.05,-642.344,863.770,1595.811,85.85,-12.23,-24.01
1766237880904,43.65,9.74,21.32,-367.930,605.469,1047.959,93.54,-12.66,0.31
1766237880914,41.36,10.48,20.00,-193.125,130.371,534.775,76.79,-27.98,17.99
1766237880924,33.25,8.00,18.61,-29.551,-97.656,356.553,43.35,-29.35,32.81
1766237880934,30.51,-1.63,18.89,453.359,124.023,717.393,29.16,-24.98,29.24
1766237880944,30.16,-10.07,18.90,985.098,381.348,1122.666,33.48,-15.54,5.24
1766237880954,31.09,-17.78,17.26,1332.266,445.312,1146.592,37.91,-22.48,-31.38
1766237880990,31.11,-25.46,14.60,1121.816,127.441,828.232,36.48,-41.29,-57.69
1766237880993,25.54,-26.28,14.74,374.746,-223.633,853.135,37.48,-34.73,-63.44
1766237880996,21.02,-21.39,14.71,70.547,-233.398,1166.611,41.91,-6.29,-70.19
1766237880999,17.41,-12.91,14.26,-240.000,-221.680,1390.732,39.29,34.84,-69.01
1766237881004,14.76,-7.35,13.00,38.809,-114.746,1053.330,40.16,54.96,-66.63
1766237881014,8.96,-7.65,11.60,258.535,-305.664,601.182,33.16,47.46,-64.63
1766237881024,-1.35,-8.77,10.39,324.941,-860.840,280.869,17.98,47.65,-69.32
1766237881034,-12.04,-10.99,8.60,600.332,-1465.332,112.900,5.98,47.96,-77.57
1766237881044,-22.49,-12.06,6.25,487.539,-1345.703,727.158,-41.40,40.90,-79.07
