Timestamp,Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1765181702767,-0.14,-0.10,158.52,2.832,-2.217,977.178,0.13,0.34,-0.41
1765181702770,-0.13,-0.12,158.52,4.297,-2.217,974.248,0.25,0.34,0.03
1765181702773,-0.13,-0.07,158.52,-0.586,-3.193,980.107,0.13,0.34,0.03
1765181702776,-0.17,-0.08,158.51,2.832,-5.146,974.248,-0.06,0.34,-0.28
1765181702786,-0.18,-0.08,158.51,2.344,-3.193,977.178,-0.18,0.09,-0.03
1765181702795,-0.15,-0.07,158.52,0.879,-0.752,979.619,0.00,0.21,0.22
1765181702804,-0.14,-0.07,158.52,2.344,-1.240,979.131,-0.06,0.34,0.03
1765181702815,-0.14,-0.07,158.52,2.344,-2.217,979.131,0.00,0.21,-0.03
1765181702824,-0.16,-0.07,158.53,1.855,-5.146,980.107,0.25,0.27,0.15
1765181702834,-0.16,-0.06,158.53,1.855,-3.193,979.619,0.19,0.27,-0.03
1765181702843,-0.19,-0.11,158.53,5.273,-5.635,981.572,0.13,0.15,0.09
1765181702853,-0.20,-0.11,158.52,2.832,-3.682,980.596,-0.06,0.21,-0.28
1765181702863,-0.19,-0.08,158.52,1.855,-3.682,978.154,0.25,0.65,0.09
1765181702872,-0.19,-0.07,158.52,2.344,-3.193,979.131,-0.06,0.34,0.09
1765181702882,-0.20,-0.11,158.52,3.809,-4.170,980.596,-0.06,0.02,-0.16
1765181702892,-0.23,-0.10,158.53,3.320,-5.146,977.178,-0.12,0.46,0.28
1765181702901,-0.24,-0.12,158.53,3.320,-4.658,981.084,-0.06,0.02,-0.03
1765181702911,-0.22,-0.13,158.52,4.297,-3.193,978.154,0.25,0.46,-0.16
1765181702921,-0.19,-0.12,158.53,2.832,-2.705,976.689,0.25,0.34,0.22
1765181702930,-0.21,-0.09,158.53,0.879,-4.658,977.178,-0.06,0.21,-0.10
1765181702940,-0.19,-0.03,158.53,-2.051,-2.705,981.572,0.19,0.46,0.03
1765181702950,-0.18,-0.06,158.54,2.832,-2.705,977.178,0.07,-0.04,0.15
1765181702959,-0.16,-0.08,158.52,3.320,-1.729,978.154,0.00,0.21,-0.22
1765181702969,-0.16,-0.08,158.53,2.832,-2.217,979.619,0.00,0.27,0.03
1765181702978,-0.17,-0.09,158.51,3.320,-3.193,978.643,-0.12,0.34,-0.35
1765181702988,-0.15,-0.10,158.50,2.344,-2.217,975.225,0.25,-0.04,-0.10
1765181702998,-0.12,-0.08,158.50,1.855,0.225,977.178,-0.18,0.40,-0.16
1765181703007,-0.12,-0.08,158.50,2.344,-1.240,980.107,-0.18,0.27,0.09
1765181703017,-0.12,-0.08,158.51,2.344,-1.240,977.178,-0.12,0.21,0.22
1765181703026,-0.12,-0.07,158.49,2.344,-3.193,976.689,0.32,0.59,-0.41
1765181703036,-0.12,-0.08,158.48,2.832,-2.217,980.107,0.00,0.15,-0.16
1765181703046,-0.16,-0.07,158.49,0.879,-5.146,974.736,-0.06,0.15,0.09
1765181703055,-0.17,-0.08,158.49,2.344,-2.705,979.619,-0.18,0.02,-0.03
1765181703065,-0.16,-0.06,158.49,0.391,-2.705,979.619,0.13,0.15,0.15
1765181703075,-0.14,-0.09,158.50,4.785,-1.729,979.131,0.07,0.34,0.03
1765181703084,-0.13,-0.07,158.49,1.855,-1.729,978.154,0.19,0.59,-0.22
1765181703094,-0.14,-0.07,158.48,2.832,-3.682,985.479,0.13,0.46,-0.16
1765181703104,-0.12,-0.04,158.47,1.855,-1.240,976.689,0.07,0.71,-0.22
1765181703113,-0.12,-0.04,158.46,1.367,-1.729,978.154,0.00,0.15,-0.16
1765181703123,-0.12,-0.05,158.45,3.320,-2.705,984.990,0.19,0.46,-0.16
1765181703132,-0.14,-0.03,158.45,1.367,-4.170,977.666,0.00,0.52,-0.10
1765181703142,-0.13,-0.04,158.45,1.367,-1.240,977.178,-0.06,0.15,0.03
1765181703152,-0.18,-0.05,158.44,2.344,-5.146,980.107,-0.25,0.09,-0.22
1765181703161,-0.15,-0.07,158.45,3.809,-1.729,977.666,0.19,0.46,0.22
1765181703171,-0.19,-0.05,158.45,0.391,-4.658,979.131,-0.18,0.21,0.03
1765181703181,-0.20,-0.04,158.45,1.367,-3.682,979.619,-0.12,0.27,0.03
1765181703190,-0.21,-0.01,158.46,-0.098,-4.658,976.201,0.19,0.40,0.09
1765181703199,-0.20,-0.02,158.46,-0.098,-2.705,978.154,-0.12,-0.23,0.09
1765181703210,-0.23,-0.06,158.46,4.785,-5.146,982.549,-0.12,0.40,0.09
1765181703219,-0.22,-0.04,158.47,0.391,-3.193,979.131,0.07,0.27,0.03
1765181703229,-0.24,-0.06,158.46,2.344,-5.146,982.549,-0.06,0.02,-0.10
1765181703238,-0.26,-0.07,158.45,3.809,-4.658,978.643,-0.31,0.46,-0.16
1765181703248,-0.22,-0.09,158.45,1.855,-1.729,977.178,0.13,-0.16,-0.10
1765181703258,-0.21,-0.06,158.43,0.391,-3.193,979.619,0.07,0.21,-0.28
1765181703267,-0.21,-0.10,158.44,4.297,-2.217,977.666,-0.37,0.15,0.03
1765181703277,-0.19,-0.06,158.43,-0.586,-2.217,979.619,0.07,0.15,-0.03
1765181703286,-0.19,-0.05,158.44,0.879,-3.193,978.154,0.00,0.27,0.15
1765181703296,-0.15,-0.06,158.44,2.832,-1.240,975.713,0.19,0.21,-0.03
1765181703306,-0.17,-0.06,158.44,2.832,-4.658,979.131,0.19,0.52,-0.03
1765181703316,-0.20,-0.07,158.42,1.367,-4.658,980.107,-0.12,-0.04,-0.28
1765181703325,-0.20,-0.06,158.43,1.367,-3.682,977.178,0.13,0.15,0.03
1765181703335,-0.22,-0.06,158.43,2.344,-5.146,983.525,-0.12,0.27,0.15
1765181703344,-0.18,-0.04,158.43,1.367,-1.240,976.201,0.25,0.65,0.03
1765181703354,-0.17,-0.07,158.44,3.320,-2.217,974.248,0.00,0.09,0.03
1765181703364,-0.19,-0.06,158.45,2.344,-5.146,980.596,0.07,0.52,0.22
1765181703374,-0.19,-0.04,158.46,0.879,-2.705,982.549,-0.06,0.40,0.22
1765181703383,-0.22,-0.05,158.45,1.855,-6.123,978.154,0.07,0.09,-0.16
1765181703393,-0.22,-0.06,158.45,3.320,-3.682,980.596,0.00,0.34,-0.03
1765181703402,-0.20,-0.04,158.45,1.855,-3.193,976.689,0.19,0.65,-0.03
1765181703412,-0.21,-0.05,158.44,2.832,-3.682,978.154,0.00,0.34,-0.10
1765181703422,-0.20,-0.11,158.45,5.762,-3.193,978.643,0.00,0.02,0.09
1765181703431,-0.20,-0.10,158.44,2.344,-3.193,977.666,-0.06,0.27,-0.10
1765181703441,-0.19,-0.11,158.44,3.320,-2.217,976.201,-0.12,0.21,-0.03
1765181703450,-0.17,-0.11,158.44,2.832,-2.705,979.131,0.19,0.27,0.03
1765181703460,-0.19,-0.08,158.45,-0.098,-4.658,980.107,0.19,0.15,0.15
1765181703470,-0.14,-0.09,158.45,3.320,-0.752,976.201,0.38,0.21,0.03
1765181703479,-0.16,-0.12,158.45,4.297,-4.170,978.154,0.07,0.09,0.09
1765181703489,-0.14,-0.12,158.46,2.832,-1.240,979.131,0.07,0.34,0.09
1765181703498,-0.12,-0.11,158.45,1.855,-1.729,977.666,0.07,0.09,-0.16
1765181703508,-0.10,-0.12,158.44,3.809,0.225,979.131,-0.18,0.21,-0.16
1765181703518,-0.10,-0.08,158.45,-0.098,-2.217,978.154,0.25,0.40,0.09
1765181703528,-0.16,-0.06,158.45,1.367,-6.611,979.131,0.00,0.46,0.15
1765181703536,-0.15,-0.08,158.46,3.320,-2.217,978.154,0.00,0.15,0.03
1765181703547,-0.19,-0.10,158.44,4.785,-5.635,981.084,0.00,0.40,-0.22
1765181703556,-0.16,-0.10,158.44,1.855,-1.240,978.643,0.19,0.15,-0.10
1765181703566,-0.19,-0.12,158.44,3.320,-5.635,979.131,0.13,0.02,-0.03
1765181703575,-0.17,-0.11,158.44,3.809,-2.217,976.201,0.13,0.52,-0.03
