Timestamp,Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1766218580251,-0.76,-1.37,159.79,22.061,-13.018,975.371,0.12,0.12,0.11
1766218580254,-0.77,-1.38,159.80,25.967,-13.018,978.301,-0.20,0.43,0.24
1766218580257,-0.80,-1.34,159.80,20.596,-14.971,979.277,-0.20,-0.07,0.05
1766218580263,-0.81,-1.43,159.94,24.014,-13.506,968.047,-0.13,-0.07,-0.14
1766218580273,-0.82,-1.42,159.94,23.037,-14.971,974.883,0.24,-0.13,-0.08
1766218580283,-0.81,-1.44,159.95,25.479,-13.994,978.301,0.18,-0.25,0.24
1766218580293,-0.82,-1.41,159.95,23.037,-14.482,978.789,-0.07,0.25,-0.08
1766218580303,-0.78,-1.42,159.18,23.037,-13.018,978.789,0.12,-0.19,-15.89
1766218580313,-0.80,-1.36,159.17,19.619,-13.994,969.512,-0.13,0.06,-0.20
1766218580323,-0.78,-1.37,159.18,24.014,-12.529,973.418,0.05,-0.00,0.05
1766218580333,-0.83,-1.39,159.19,25.479,-16.436,970.977,-0.13,0.12,0.24
1766218580343,-0.78,-1.40,159.19,23.525,-11.064,970.488,0.24,-0.13,0.11
1766218580353,-0.77,-1.37,159.21,22.549,-12.529,979.766,-0.07,0.06,0.30
1766218580363,-0.79,-1.31,159.22,19.619,-14.971,978.301,-0.01,0.25,0.24
1766218580373,-0.79,-1.34,159.21,24.014,-13.506,979.277,-0.01,-0.07,-0.20
1766218580383,-0.79,-1.31,159.22,22.061,-13.506,975.371,-0.01,0.31,0.11
1766218580393,-0.79,-1.32,159.23,23.037,-13.506,967.559,0.05,0.12,0.24
1766218580403,-0.77,-1.35,159.23,24.014,-10.576,969.512,-0.32,-0.32,0.05
1766218580413,-0.78,-1.37,159.23,24.502,-13.506,970.488,-0.13,-0.07,0.05
1766218580423,-0.82,-1.36,159.23,22.549,-15.459,979.277,-0.26,-0.07,0.05
1766218580433,-0.80,-1.34,159.24,20.596,-13.018,980.742,0.24,-0.13,0.11
1766218580443,-0.84,-1.35,159.24,23.037,-16.924,972.930,0.05,-0.19,-0.01
1766218580453,-0.82,-1.35,159.24,23.525,-12.041,982.207,-0.32,0.06,0.05
1766218580463,-0.79,-1.34,159.24,23.037,-12.041,971.465,0.12,0.12,-0.01
1766218580473,-0.80,-1.37,159.24,24.014,-13.994,970.977,0.05,-0.25,0.05
1766218580483,-0.79,-1.43,159.25,26.943,-13.506,974.395,0.18,-0.19,0.11
