Timestamp,Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1766236918428,-16.39,8.95,-60.45,312.676,-319.453,1148.682,-18.42,72.08,18.65
1766236918431,-17.02,7.65,-60.83,299.980,-279.902,1132.080,-22.86,74.83,12.02
1766236918434,-17.01,5.95,-61.65,355.156,-209.590,1099.365,-24.49,76.83,2.46
1766236918437,-16.07,2.78,-63.16,518.242,-122.676,1100.830,-21.49,73.27,-13.29
1766236918440,23.06,-9.90,130.78,151.055,414.434,1010.986,14.14,-10.92,-6.91
1766236918446,22.87,-9.75,131.51,153.496,382.695,1034.424,11.08,-0.48,13.96
1766236918456,23.45,-10.65,132.91,234.551,459.355,1040.771,13.39,2.14,30.90
1766236918466,24.50,-13.88,134.39,453.301,489.629,1030.029,20.26,-3.61,35.77
1766236918476,25.03,-17.21,136.02,452.324,418.340,923.096,20.89,-8.42,38.96
1766236918486,24.62,-19.57,138.17,413.750,368.047,924.072,19.08,-7.23,44.96
1766236918496,23.72,-20.71,140.95,360.039,370.000,937.256,13.77,-1.23,54.65
1766236918506,23.96,-23.66,143.22,624.199,482.793,995.361,15.27,-2.05,51.33
1766236918516,24.95,-27.37,145.08,865.410,546.758,1016.846,23.14,-0.04,44.65
1766236918526,25.91,-30.21,146.53,863.457,527.227,1029.053,28.08,-2.92,34.46
1766236918536,27.28,-34.31,147.20,1145.195,478.398,969.971,35.45,-6.48,16.77
1766236918546,27.79,-37.54,147.87,1095.879,322.637,972.412,41.58,-11.80,0.90
1766236918556,27.25,-40.16,148.65,986.992,164.922,897.217,40.58,-15.92,-14.29
1766236918566,25.36,-42.94,149.85,894.707,-4.023,755.615,36.08,-19.05,-27.23
1766236918577,21.52,-44.78,152.20,853.691,-125.117,775.635,26.45,-15.11,-31.10
1766236918587,20.29,-46.13,152.52,1054.375,-17.207,895.752,24.64,-13.73,-38.85
1766236918597,20.29,-46.69,151.96,1061.211,35.039,974.365,29.33,-17.05,-44.54
1766236918607,18.07,-47.43,153.25,895.684,-142.695,876.221,34.51,-22.30,-42.60
1766236918617,11.42,-50.38,158.06,892.266,-460.078,687.744,29.95,-32.61,-32.85
1766236918627,2.05,-54.37,165.54,1008.965,-702.754,589.600,24.70,-44.61,-23.48
1766236918637,-10.24,-57.34,175.78,919.121,-796.992,492.432,12.89,-51.23,-17.79
1766236918647,-20.98,-57.29,-175.32,666.680,-647.090,542.236,2.14,-55.42,-19.92
1766236918657,-25.55,-52.76,-171.97,278.008,-380.488,588.623,-11.11,-53.23,-18.04
1766236918667,-18.60,-45.19,-177.81,-60.859,29.668,1069.580,-19.74,-41.98,-12.85
1766236918677,-9.30,-37.55,175.65,-212.227,449.590,1212.646,-11.92,-25.30,-8.16
1766236918686,-1.53,-29.22,171.48,-404.609,716.191,1475.830,-2.86,-12.67,2.02
1766236918696,4.25,-20.45,170.26,-546.699,734.746,1406.982,4.83,-0.54,24.90
1766236918706,8.25,-12.69,171.58,-450.996,620.000,1347.900,9.58,13.95,49.02
1766236918716,10.64,-9.58,174.77,-14.961,408.086,1330.322,24.14,18.83,70.40
1766236918726,9.69,-9.18,179.44,153.008,66.777,1101.318,27.76,16.45,89.02
1766236918736,7.03,-13.36,-175.17,540.703,-109.492,1065.186,27.58,3.95,99.40
1766236918746,1.22,-15.74,-167.99,435.234,-384.395,965.576,27.33,-0.23,116.96
1766236918757,-4.39,-17.95,-160.23,518.730,-437.129,973.389,24.70,-5.36,127.02
1766236918767,-9.56,-17.09,-152.48,289.238,-441.035,919.189,25.01,-8.67,129.09
1766236918777,-13.14,-14.36,-145.58,155.938,-364.375,914.307,14.77,-6.80,127.77
1766236918787,-14.66,-8.01,-139.88,-159.492,-274.043,944.092,4.14,-1.67,121.58
1766236918796,-13.39,-5.03,-135.07,16.289,-103.633,1036.377,-0.86,4.58,111.33
1766236918807,-11.81,-0.53,-130.43,-147.773,-75.801,1077.881,-2.80,14.64,108.15
1766236918816,-9.34,4.65,-125.67,-295.234,0.859,1157.471,-1.99,23.95,108.27
1766236918826,-6.29,7.76,-120.75,-183.418,67.266,1191.650,-0.86,33.58,105.58
1766236918837,-3.14,11.00,-115.49,-206.367,119.512,1166.748,-3.30,49.58,108.77
1766236918846,-0.68,14.23,-109.93,-243.477,77.520,1161.865,-2.86,60.58,112.77
1766236918856,2.49,13.91,-104.06,24.590,178.105,1173.096,-2.42,64.08,112.33
1766236918866,4.99,11.70,-98.26,199.395,190.801,1197.021,-1.67,63.46,112.58
1766236918876,6.15,11.08,-92.43,62.676,107.305,1177.002,-0.67,64.46,116.65
1766236918887,6.85,9.43,-86.72,164.727,92.168,1179.932,0.45,63.08,115.46
1766236918897,7.82,7.22,-81.07,241.387,148.320,1206.787,2.83,59.83,113.21
1766236918907,7.84,6.63,-75.41,99.785,76.055,1144.287,3.39,58.46,115.02
1766236918916,8.29,4.49,-69.96,238.457,123.418,1139.404,5.58,52.83,110.40
1766236918926,8.91,2.23,-64.74,275.078,166.875,1123.291,6.39,49.02,105.08
1766236918936,8.58,2.06,-59.52,98.809,102.910,1058.350,3.64,47.21,105.08
1766236918946,8.30,-0.36,-54.61,272.637,119.512,987.549,-0.11,41.64,99.08
1766236918956,6.86,-0.37,-49.69,99.297,39.434,953.369,-3.86,39.21,99.21
1766236918966,5.95,-2.45,-45.05,270.195,77.520,977.295,-6.92,34.64,94.08
1766236918976,3.52,-1.71,-40.45,78.789,-38.691,980.225,-11.86,34.39,92.65
1766236918986,1.50,-2.31,-36.12,200.859,-33.809,1020.752,-15.86,34.71,88.21
1766236918996,-0.04,-3.34,-32.24,247.734,-23.555,1030.029,-16.36,30.45,79.71
1766236919006,-1.72,-3.47,-28.49,208.184,-38.691,1046.631,-21.74,32.33,77.58
1766236919016,-1.90,-5.18,-25.16,377.129,79.961,1113.525,-23.30,29.64,71.77
1766236919026,-1.32,-7.61,-22.46,466.484,154.668,1117.920,-21.67,24.02,60.77
1766236919036,-0.73,-8.05,-20.12,325.859,180.059,1207.764,-22.86,22.83,54.58
1766236919046,-0.40,-6.63,-17.62,185.723,175.176,1297.119,-23.42,29.14,57.02
1766236919056,0.53,-7.52,-15.42,416.680,238.652,1316.650,-19.99,29.20,50.96
1766236919066,0.44,-6.75,-13.16,251.152,116.582,1364.502,-15.17,29.27,48.83
1766236919076,0.06,-6.64,-10.99,303.398,45.781,1321.533,-9.42,30.14,45.27
1766236919086,0.16,-9.41,-9.55,560.234,40.410,1248.779,-0.92,19.70,30.65
1766236919096,0.15,-11.86,-8.47,529.473,-12.324,1248.779,6.76,9.33,21.46
1766236919106,0.03,-14.08,-7.76,490.410,-64.570,1220.947,13.95,-1.73,11.77
1766236919116,1.38,-17.40,-8.44,615.410,24.785,1229.736,19.70,-13.42,-11.48
1766236919126,0.57,-13.01,-8.97,-83.809,-158.809,1137.451,19.95,-2.61,-22.17
1766236919137,-0.29,-5.38,-10.19,-389.961,-157.832,1117.920,13.39,23.33,-31.23
1766236919146,-0.09,0.74,-12.70,-284.492,-49.434,1150.635,11.52,42.83,-52.17
1766236919156,0.26,4.25,-16.96,-98.457,-21.113,1075.928,15.64,53.21,-87.29
1766236919166,-0.13,5.91,-23.88,12.871,-43.574,1075.928,16.01,56.39,-140.54
1766236919176,-1.71,6.64,-32.22,48.027,-116.328,1074.463,13.58,54.39,-165.54
1766236919186,-4.22,6.10,-42.42,99.297,-153.926,959.229,5.70,52.08,-199.10
1766236919196,-6.23,4.48,-54.38,119.316,-141.719,920.166,2.64,45.58,-233.10
1766236919207,-11.50,9.07,-67.82,-347.480,-316.035,795.166,-5.99,51.52,-247.04
1766236919217,-18.70,13.79,-81.74,-502.266,-433.223,753.174,-13.80,67.08,-237.54
1766236919227,-24.82,17.67,-94.93,-620.430,-464.473,810.791,-8.11,80.52,-218.98
1766236919237,-27.22,16.05,-106.15,-227.363,-392.207,989.990,2.76,88.83,-199.60
1766236919247,-30.74,16.50,-116.77,-303.047,-542.598,925.049,2.58,107.77,-168.79
1766236919257,-30.43,9.74,-125.99,351.738,-326.289,873.779,4.83,108.14,-155.79
1766236919267,-29.33,-0.21,-135.16,768.730,-252.070,687.256,4.58,95.39,-153.91
1766236919277,-28.00,-11.39,-144.10,967.461,-234.004,500.244,-1.55,72.64,-154.85
1766236919295,-26.01,-22.26,-152.60,945.000,-246.211,434.326,-6.92,45.83,-154.10
1766236919342,-22.07,-31.89,-161.42,882.500,-157.832,451.904,-15.86,20.39,-151.35
1766236919344,-16.44,-38.60,-170.75,789.238,-88.984,565.674,-24.92,-0.98,-141.16
1766236919347,-8.52,-43.59,178.60,848.809,71.660,676.025,-30.30,-21.61,-131.29
1766236919350,-0.58,-44.06,168.25,548.027,127.324,758.057,-31.61,-38.11,-116.29
1766236919353,4.95,-42.04,159.98,395.195,154.180,876.221,-33.67,-51.98,-98.79
1766236919356,9.29,-41.20,152.83,485.527,210.332,948.486,-31.49,-63.92,-87.23
1766236919359,12.46,-39.09,146.82,367.363,259.648,974.365,-32.80,-65.23,-72.60
1766236919367,15.39,-37.45,141.22,391.777,325.078,1031.006,-27.99,-69.54,-66.48
1766236919377,17.19,-34.47,136.75,263.359,350.469,1095.947,-25.42,-64.23,-56.10
1766236919387,18.88,-32.16,132.40,308.770,396.367,1171.631,-20.17,-63.42,-57.54
1766236919397,19.59,-27.82,128.99,58.770,343.633,1082.275,-16.17,-56.04,-51.60
1766236919407,20.21,-23.36,126.27,-2.754,453.008,1257.080,-12.36,-44.86,-40.17
1766236919416,21.36,-20.04,123.85,51.445,501.836,1252.197,-1.05,-39.29,-34.35
1766236919427,22.85,-16.69,121.98,-9.590,489.141,1107.666,8.95,-32.79,-24.92
1766236919437,23.87,-13.22,121.10,-77.949,493.535,1130.615,13.89,-23.42,-10.23
1766236919447,24.35,-10.88,121.19,-42.305,466.191,1152.588,18.70,-17.42,6.90
1766236919456,25.01,-9.88,121.92,37.285,482.305,1126.709,22.08,-12.67,20.58
1766236919467,25.96,-10.27,123.16,162.773,525.762,1150.635,26.45,-7.05,30.90
1766236919476,26.55,-9.81,125.13,86.602,479.863,1126.709,32.39,0.33,41.58
1766236919486,27.12,-11.19,127.39,254.570,479.375,1092.529,32.76,3.20,47.46
1766236919496,27.00,-11.94,130.25,203.789,410.039,1016.357,32.08,7.77,55.83
1766236919506,25.86,-10.77,134.18,52.910,371.953,1045.166,25.39,17.14,72.40
1766236919517,25.39,-11.73,138.72,238.457,434.941,1057.861,24.14,24.33,86.52
1766236919527,24.81,-14.12,143.81,431.816,449.590,1105.713,25.26,29.95,95.02
1766236919537,24.47,-19.70,148.58,766.289,389.043,908.447,27.26,25.83,88.08
1766236919546,22.81,-26.36,153.30,869.805,239.629,716.064,20.95,18.83,78.77
1766236919556,21.72,-33.51,156.20,1282.891,212.285,740.479,21.89,4.58,43.08
1766236919566,20.57,-38.74,157.62,1210.625,99.492,738.525,20.83,0.21,3.40
1766236919577,19.01,-42.22,158.09,1149.590,-41.621,789.307,19.51,-3.86,-31.42
1766236919586,13.45,-42.93,160.55,716.973,-260.371,710.205,6.33,0.39,-46.23
1766236919597,10.07,-43.27,160.93,864.922,-230.586,824.951,-0.92,4.64,-57.67
1766236919607,8.47,-42.76,159.58,855.645,-161.250,869.873,-5.49,10.20,-68.17
1766236919616,8.75,-39.62,156.99,673.027,-17.207,977.783,-3.99,19.70,-68.67
1766236919626,9.08,-36.97,155.01,682.793,30.156,1012.451,1.45,22.33,-53.60
1766236919637,8.64,-38.22,153.82,903.496,-12.812,843.506,-0.30,13.14,-40.85
1766236919646,5.89,-40.90,154.92,968.438,-173.457,772.705,3.51,1.64,-21.54
1766236919657,1.97,-45.68,157.37,1070.977,-248.164,601.807,0.64,-15.92,-7.60
1766236919667,-5.68,-49.47,162.76,818.535,-354.609,483.643,-11.61,-29.17,2.02
1766236919677,-11.18,-49.21,166.78,579.277,-250.605,618.408,-15.30,-32.73,9.34
1766236919687,-11.02,-42.74,166.48,196.465,-71.895,933.350,-20.49,-25.98,12.71
1766236919697,-5.80,-36.47,163.18,152.520,306.523,1291.260,-13.55,-14.67,9.96
1766236919707,-0.59,-28.71,160.88,-203.438,456.426,1359.131,-3.24,-13.61,12.27
1766236919716,2.21,-19.32,160.96,-520.332,316.289,1214.111,3.33,-4.86,24.33
1766236919726,3.14,-10.00,162.90,-585.762,199.590,1198.975,1.64,12.70,44.33
1766236919736,2.21,-1.76,166.63,-546.699,33.574,1275.635,-4.49,33.02,74.02
1766236919746,1.76,-0.72,171.15,90.508,24.297,1306.885,-2.17,34.33,92.40
1766236919756,0.38,-2.38,176.24,305.352,-97.285,1151.123,3.01,28.95,104.02
1766236919767,-2.50,-4.17,-178.52,327.324,-251.094,1048.096,5.39,22.77,105.90
1766236919777,-5.73,-5.28,-173.09,336.113,-313.105,1024.658,3.14,25.70,109.08
1766236919787,-8.09,-3.65,-167.61,157.891,-296.992,1121.338,-0.49,29.20,114.90
1766236919797,-8.55,-1.35,-162.41,75.859,-163.203,1150.635,-4.92,31.52,114.83
1766236919807,-8.10,0.49,-157.37,88.066,-78.242,1055.908,-9.11,38.02,113.02
1766236919817,-7.34,5.60,-152.17,-200.996,-65.547,1115.479,-10.92,48.27,117.46
1766236919827,-5.72,9.81,-146.75,-208.809,-17.695,1227.295,-9.61,57.64,118.46
1766236919837,-3.12,11.23,-141.23,-18.867,84.355,1241.455,-8.48,62.46,113.58
1766236919847,-0.58,10.10,-135.90,181.328,124.395,1193.604,-6.11,61.52,107.08
1766236919857,1.00,11.24,-130.74,-15.449,70.684,1180.908,-4.42,66.77,104.83
1766236919866,2.45,11.48,-125.68,40.703,86.797,1150.635,-4.92,67.83,100.83
1766236919876,3.21,11.11,-120.57,96.367,54.570,1142.822,-6.36,69.96,103.08
1766236919887,2.86,10.44,-115.63,123.711,-19.648,1112.549,-9.05,68.71,103.02
1766236919897,2.02,10.58,-110.66,79.277,-64.570,1127.197,-10.98,71.21,105.40
1766236919907,1.42,10.09,-105.77,133.477,-50.410,1151.611,-12.23,68.77,103.52
1766236919916,1.37,9.36,-100.91,175.957,0.859,1177.490,-12.86,69.33,101.08
1766236919926,1.10,9.91,-96.09,73.906,-15.742,1149.658,-13.86,71.71,100.83
1766236919936,1.78,8.06,-91.46,291.680,77.031,1141.846,-12.80,69.71,93.96
1766236919946,1.61,8.33,-86.90,117.363,18.926,1085.205,-14.17,71.77,94.15
1766236919956,1.41,5.82,-82.65,353.691,93.145,1031.982,-30.55,67.89,85.58
1766236919966,1.01,5.33,-78.61,189.141,24.297,968.018,-17.36,66.27,83.40
1766236919976,0.29,4.71,-74.67,215.020,15.996,971.924,-22.49,67.02,81.77
1766236919986,0.13,3.16,-70.91,294.609,63.848,987.061,-23.67,61.46,77.65
1766236919996,-0.55,3.73,-67.12,146.172,40.898,1036.377,-28.99,61.71,79.27
1766236920007,-0.39,3.17,-63.24,236.016,110.723,1018.799,-31.05,61.71,80.33
1766236920016,0.51,0.38,-59.60,420.098,189.824,997.314,-29.17,52.83,75.33
1766236920027,1.65,-2.16,-56.13,434.746,255.254,1062.256,-28.24,44.83,73.40
1766236920037,2.34,-3.97,-52.57,409.844,264.043,1163.330,-28.24,39.27,75.90
1766236920047,2.55,-6.12,-49.15,458.672,228.887,1208.252,-24.17,31.27,73.08
1766236920057,2.02,-7.71,-45.66,409.355,150.762,1193.604,-21.92,26.39,73.52
1766236920066,0.99,-9.09,-42.15,428.398,83.379,1260.986,-18.49,22.64,72.90
1766236920077,-0.44,-10.16,-38.74,389.824,-7.441,1230.713,-12.61,16.33,69.08
1766236920087,-2.23,-11.07,-35.36,380.059,-87.520,1188.721,-8.73,13.89,66.58
1766236920097,-3.16,-12.65,-32.68,430.352,-69.941,1129.150,-2.74,8.20,53.90
1766236920107,-4.74,-10.12,-30.08,97.832,-146.113,1122.314,-4.05,15.39,50.83
1766236920117,-4.32,-9.03,-28.54,184.258,-26.973,1144.287,-0.67,15.39,35.58
1766236920126,-3.11,-7.22,-27.89,102.715,34.062,1181.885,0.89,18.08,18.83
1766236920136,-2.00,-4.40,-27.83,-6.660,33.086,1198.975,2.39,24.89,5.02
1766236920146,-0.92,-1.75,-28.74,-10.078,38.945,1193.115,4.14,34.02,-16.35
1766236920157,-1.52,4.48,-30.40,-330.879,-82.148,1163.330,1.76,52.33,-31.54
1766236920166,-1.07,7.21,-33.22,-44.746,26.250,1102.783,2.14,68.08,-56.85
1766236920176,-1.44,9.63,-37.81,-46.699,-1.094,1116.455,1.64,74.08,-91.60
1766236920187,-3.26,12.66,-44.25,-131.660,-88.496,1095.947,2.26,79.89,-122.60
1766236920197,-4.74,12.44,-52.17,85.625,-47.969,1052.490,1.95,82.46,-152.54
1766236920206,-5.39,9.35,-61.65,295.586,-4.023,1029.053,3.01,75.52,-185.10
1766236920217,-6.92,6.36,-72.67,247.734,-107.539,893.799,5.83,68.21,-210.79
1766236920227,-11.64,8.83,-84.85,-141.426,-296.992,770.264,2.95,71.21,-220.73
1766236920237,-15.26,8.77,-97.04,-51.094,-295.039,878.662,-2.49,78.21,-221.54
1766236920247,-20.21,12.53,-109.16,-376.777,-414.180,861.084,-8.73,90.77,-206.85
1766236920257,-25.68,15.27,-120.58,-360.664,-486.445,861.572,-14.73,106.52,-182.66
1766236920267,-27.27,13.03,-130.06,51.934,-322.871,952.393,-16.05,117.14,-158.54
1766236920277,-27.81,7.95,-138.77,343.926,-274.531,853.271,-18.05,117.83,-143.48
1766236920287,-27.95,-0.41,-147.26,684.746,-254.023,693.604,-16.92,103.58,-140.54
1766236920297,-25.44,-9.39,-155.57,822.930,-74.336,610.596,-19.80,85.33,-136.29
1766236920307,-23.93,-17.61,-163.31,748.711,-179.805,554.932,-26.99,63.39,-132.73
1766236920317,-20.98,-25.17,-171.15,748.711,-115.840,559.814,-30.36,40.64,-129.98
1766236920327,-15.95,-31.32,-179.61,715.020,-8.418,608.643,-31.55,16.83,-125.79
1766236920337,-9.76,-37.26,171.44,943.047,124.883,717.529,-35.42,-5.80,-118.04
1766236920347,-3.29,-39.02,162.75,619.316,142.461,809.326,-32.49,-25.80,-104.48
1766236920357,2.11,-38.35,155.11,431.328,160.527,845.947,-30.55,-40.92,-92.79
1766236920367,6.63,-38.77,148.34,542.656,209.355,915.771,-26.55,-53.54,-83.04
1766236920377,8.99,-36.94,143.40,338.066,176.641,951.416,-27.11,-58.11,-66.17
1766236920387,11.36,-35.97,138.68,381.523,227.910,974.365,-23.24,-63.86,-60.54
1766236920397,12.72,-33.48,134.84,239.434,224.004,1008.057,-21.49,-61.42,-53.10
1766236920407,15.09,-32.68,130.40,389.336,322.637,1078.857,-14.92,-63.86,-56.79
1766236920417,15.90,-28.86,126.98,87.090,260.625,1050.537,-15.48,-58.54,-52.73
1766236920427,16.69,-23.58,124.03,-86.250,355.840,1145.264,-15.98,-45.29,-44.60
1766236920437,18.16,-20.49,121.12,75.371,438.359,1155.029,-8.55,-38.92,-41.54
1766236920447,18.61,-15.39,119.29,-153.145,376.836,1097.900,-5.55,-26.42,-30.92
1766236920457,19.60,-11.85,117.89,-69.160,454.961,1087.646,-3.36,-17.11,-20.98
1766236920467,19.98,-8.56,117.20,-99.434,423.223,1091.553,-1.42,-10.17,-11.16
1766236920476,20.73,-8.18,116.98,109.062,438.359,1040.771,2.70,-6.48,-0.54
1766236920487,20.87,-5.61,117.76,-97.969,410.039,1056.885,3.01,0.96,16.46
1766236920497,21.59,-6.47,119.10,187.676,506.719,1152.100,5.39,5.77,28.71
1766236920506,22.83,-7.52,120.91,217.461,545.293,1128.174,11.95,8.89,38.83
1766236920517,23.91,-8.77,123.10,244.805,526.250,1095.947,16.39,10.64,45.71
1766236920526,25.04,-8.11,125.99,89.531,559.453,1101.807,18.95,19.14,57.90
1766236920537,25.38,-9.23,129.73,272.637,525.273,1156.494,21.33,27.45,70.77
1766236920547,25.56,-9.69,134.10,239.434,533.574,1172.607,22.58,34.77,80.83
1766236920557,25.66,-13.08,138.99,482.598,462.773,972.900,22.45,36.77,90.77
1766236920567,24.82,-19.49,143.99,813.164,360.723,830.322,19.01,30.77,89.15
1766236920577,23.25,-27.17,148.38,1051.445,254.277,696.045,15.39,17.95,72.77
1766236920587,21.63,-34.26,151.58,1350.273,216.680,718.506,13.33,10.77,45.27
1766236920597,21.14,-40.01,152.19,1387.871,157.109,721.924,13.77,-2.73,-2.35
1766236920607,18.85,-43.00,152.78,992.852,-58.223,719.482,10.70,-5.61,-35.73
1766236920617,14.19,-41.03,154.40,625.664,-174.922,885.986,3.64,5.02,-51.10
1766236920627,11.22,-38.04,154.41,600.762,-144.648,975.830,2.14,15.27,-60.48
1766236920637,9.49,-34.00,153.58,550.957,-55.293,1095.947,-1.61,27.08,-54.48
1766236920647,9.91,-33.08,151.86,820.488,88.750,1028.564,2.08,31.89,-45.04
1766236920657,9.78,-35.60,150.76,929.863,12.578,735.107,5.14,23.52,-37.48
1766236920667,6.17,-38.71,152.20,967.461,-221.797,760.010,0.76,5.70,-22.29
1766236920677,1.21,-43.53,155.20,1111.992,-328.242,624.756,-2.74,-8.92,-6.35
1766236920687,-5.10,-48.90,159.54,1091.484,-375.605,487.061,-9.92,-25.67,0.02
1766236920697,-13.11,-52.16,165.45,836.113,-366.816,453.857,-18.80,-32.29,7.21
1766236920707,-13.43,-51.69,165.49,736.992,-105.098,819.580,-17.80,-39.73,7.34
1766236920717,-7.60,-47.51,161.12,404.473,187.871,1158.936,-6.49,-44.61,0.08
1766236920727,-1.58,-40.15,157.36,-88.691,346.074,1270.752,2.64,-42.11,2.46
1766236920737,1.81,-30.09,156.22,-617.500,375.859,1355.713,2.89,-21.67,15.71
1766236920747,3.74,-20.24,156.94,-586.738,327.520,1347.900,3.70,-0.67,31.27
1766236920757,6.27,-12.76,158.80,-358.711,394.414,1248.291,7.45,11.64,51.52
1766236920767,8.32,-11.73,161.79,181.328,343.145,1272.217,17.26,9.64,68.08
1766236920777,8.79,-11.96,165.69,223.320,180.059,1132.080,23.45,4.33,80.08
1766236920787,7.10,-13.68,170.34,319.512,0.371,1032.471,23.33,-0.92,86.71
1766236920797,2.17,-13.72,176.22,210.137,-251.094,951.904,18.14,-1.42,96.65
1766236920807,-2.95,-11.57,-177.66,62.188,-348.750,963.135,15.52,-3.36,103.65
1766236920817,-6.84,-11.52,-171.69,254.082,-350.703,984.131,14.02,-0.67,107.77
1766236920827,-9.53,-7.37,-165.86,-40.840,-315.059,1007.568,9.83,6.70,115.08
1766236920837,-11.31,-1.86,-160.24,-180.488,-312.129,1042.236,3.14,16.83,120.71
1766236920847,-11.11,1.81,-155.10,-91.133,-193.477,1112.061,-2.36,25.33,115.83
1766236920857,-9.67,3.75,-150.39,0.176,-81.660,1113.037,-5.36,31.14,105.52
1766236920867,-8.33,7.49,-145.91,-175.605,-69.453,1095.459,-7.74,39.64,100.02
1766236920877,-6.38,9.06,-141.47,-53.535,-11.836,1127.686,-6.61,43.21,94.96
1766236920887,-4.20,9.33,-137.09,35.820,54.082,1145.264,-8.61,46.83,90.52
1766236920897,-2.71,10.62,-132.58,-56.465,34.062,1165.771,-10.98,51.39,93.33
1766236920907,-0.92,10.28,-127.93,66.582,84.844,1078.369,-11.36,53.52,93.58
1766236920917,-0.27,10.67,-123.18,6.035,6.719,1161.377,-10.36,54.64,98.77
1766236920927,0.30,10.40,-118.18,70.000,14.531,1138.428,-11.80,57.77,103.58
1766236920937,0.79,10.45,-113.09,40.215,17.461,1149.170,-11.86,57.58,105.65
1766236920947,1.65,9.06,-108.01,166.191,68.242,1133.545,-11.80,56.33,103.71
1766236920957,2.02,8.60,-103.01,92.949,48.711,1107.178,-12.42,55.58,102.83
1766236920967,3.26,5.89,-98.30,298.027,159.062,1110.107,-12.17,50.71,94.58
1766236920977,3.48,5.49,-93.69,111.016,96.562,1064.697,-13.67,50.14,93.77
1766236920987,4.02,2.77,-89.47,303.887,146.855,1043.701,-14.36,43.83,85.71
